date,age,income,experience,credit_score,satisfaction,department,project_count
2024-01-01,39.96714153011233,63528.58589865133,4.798001294456197,814.9066026295702,2,Finance,5.0
2024-01-02,33.61735698828815,56033.88074611457,4.248192749407715,771.0892571927152,3,IT,3.0
2024-01-03,41.47688538100692,73045.84050326316,8.097252161709594,839.5719770118093,2,HR,0.0
2024-01-04,50.23029856408026,68732.45165812007,12.18608061316159,889.5488296731863,1,Finance,9.0
2024-01-05,32.658466252766644,35211.00569957905,4.163255558148171,741.0937565603432,3,Finance,4.6
2024-01-06,36.17864725016826,39609.69524661107,4.788143825973586,823.0591811211254,4,HR,1.0
2024-01-07,50.79212815507391,81338.54490469745,10.181610403264377,809.582597659215,4,IT,0.0
2024-01-08,42.67434729152909,69149.38044641571,8.78497994656905,758.2566247172092,5,Sales,1.0
2024-01-09,30.305256140650478,50134.158989632015,4.36269371968399,662.2807097028585,2,Sales,0.0
2024-01-10,40.42560043585965,99165.71556033668,9.199117842461359,923.1336466951326,3,,0.0
2024-01-11,30.365823071875376,51257.639714744735,5.56955898492793,795.0470762861216,5,Finance,8.0
2024-01-12,30.34270246429743,56869.71009825214,1.8877968020432356,760.9601866509815,3,Finance,0.0
2024-01-13,37.41962271566034,65669.45170842252,3.899620744792892,795.3373347328361,2,Finance,5.0
2024-01-14,28.91533953411467,30314.70884319101,0.9022326651658266,654.3549653214632,4,Finance,9.0
2024-01-15,17.750821674869673,23473.540065901052,-0.23504330609294688,819.2346791126433,1,IT,5.0
2024-01-16,29.377124707590273,51655.37926631809,2.2538768099230033,759.7718176313975,4,Finance,6.0
2024-01-17,38.88262500225847,60373.21595805427,5.050979469707352,714.6283018294605,5,HR,1.0
2024-01-18,38.142473325952736,54845.52392152902,7.488338598966813,795.9793790379927,1,Finance,5.0
2024-01-19,25.91975924478789,34026.0033888908,4.224825718005715,742.1024683646173,5,Sales,6.0
2024-01-20,20.876962986647086,32134.185873833856,0.4858221574790529,725.4625729616243,2,Finance,9.0
2024-01-21,49.65648768921554,97631.31720055839,15.98409092545019,805.7389116288512,1,IT,9.0
2024-01-22,32.74223699513465,30440.70356678449,8.607576482940269,734.4548249903687,5,Sales,1.0
2024-01-23,35.67528204687924,60375.52497406399,5.77218452179355,722.2242731186077,2,IT,1.0
2024-01-24,20.752518137865433,15001.618494901633,2.244149157054884,747.2742392975521,4,IT,9.0
2024-01-25,29.556172754748175,39614.94047422793,5.113221001069566,808.8892122804257,2,Sales,6.0
2024-01-26,36.10922589709866,65053.344815321645,9.180953473904163,754.545905809084,3,IT,0.0
2024-01-27,23.490064225776973,35877.89652962009,3.7763096318334086,755.9500330307708,2,IT,7.0
2024-01-28,38.75698018345672,68557.62863716813,8.874894993379566,738.4266989868015,2,Finance,2.0
2024-01-29,28.99361310081195,46019.863089782666,5.7142942140239565,762.0078762902046,3,,5.0
2024-01-30,32.083062502067236,54920.57124244761,1.315746027980666,814.5507184084427,5,IT,8.0
2024-01-31,28.98293387770603,36170.73449938768,1.2266565257508635,637.7182375130344,5,IT,5.0
2024-02-01,42.874215758126695,82448.75866345382,9.330648382515552,759.4493585413154,2,IT,8.0
2024-02-02,34.86502775262066,52753.26002796913,5.407197432159149,747.6061251269888,3,Finance,6.0
2024-02-03,24.422890710440996,33381.116294291845,3.204240795768323,706.167367575595,3,HR,8.0
2024-02-04,43.225449121031886,86277.61457480109,12.294893752604812,771.9500103865938,4,,1.0
2024-02-05,22.791563500289776,40526.53547361478,1.2648149609554613,648.3102373539411,5,Finance,7.0
2024-02-06,37.08863595004755,57826.04515180145,5.796981707142786,761.9215853150862,1,Finance,2.4
2024-02-07,33.755775180365404,24969.49128949764,-4.598883411948885,703.6048809384155,5,HR,1.0
2024-02-08,21.718139511015693,34617.990975212226,3.879624183428598,637.4206442506267,5,HR,3.0
2024-02-09,35.82274888096426,54281.21164358877,6.676349545683257,782.9996420503941,4,Finance,6.0
2024-02-10,42.38466579995411,55651.791315604154,9.721997217860258,744.514347666702,1,Sales,3.0
2024-02-11,36.7136828118997,53923.15980318056,6.620083628571694,841.2973958708308,4,Finance,3.0
2024-02-12,33.843517176117594,55815.14855398096,1.4025226703672846,783.6559911324009,1,HR,4.4
2024-02-13,31.988963044107113,56640.996507861884,4.617345138617268,688.1248453598184,2,Sales,9.0
2024-02-14,20.214780096325725,18319.206073930825,-2.523026962479416,674.3512589435645,1,HR,5.0
2024-02-15,27.801557916052914,38357.32451566989,4.459968264081244,713.0784705439563,4,Sales,9.0
2024-02-16,30.393612290402125,40840.96532399362,4.890641408354547,596.8375985009086,5,IT,2.0
2024-02-17,45.57122226218915,66564.23401654305,8.34872933222095,770.9323388092026,1,HR,8.0
2024-02-18,38.43618289568462,75308.81674633789,6.346739323600461,789.0709069822419,1,HR,5.0
2024-02-19,32.671111964541765,30104.214779168542,-3.170587665228839,745.018747799008,3,Finance,1.0
2024-02-20,38.24083969394795,60321.66335832679,7.170977683032836,831.9526447424101,5,HR,5.0
2024-02-21,31.149177195836835,55902.38526430301,6.369955519337211,818.1330220059939,2,HR,6.0
2024-02-22,28.230779996940413,63567.73196553695,1.320859906105078,763.6910294033323,4,,8.0
2024-02-23,41.11676288840868,67503.940382737,9.45479818639916,738.6732984391655,2,HR,2.0
2024-02-24,45.30999522495951,52771.293177899126,8.259926422611947,884.2105765182912,5,IT,9.0
2024-02-25,44.31280119116199,64007.03150957231,8.99800453476671,776.2146438168853,1,,4.0
2024-02-26,27.933883378519976,52580.848643526646,4.172378380865039,755.8581618827006,1,IT,6.0
2024-02-27,33.755775180365404,40785.11970604397,2.692665851756395,730.3639850565878,5,IT,3.0
2024-02-28,38.31263431403564,61907.145752515746,7.0879448973979695,738.2722611933875,1,Sales,7.0
2024-02-29,44.75545127122359,74879.51744112876,7.50642472331174,792.5410142860604,1,Finance,6.0
2024-03-01,30.2082576215471,55808.19599388192,8.01275331445162,693.4030630890678,1,Sales,4.0
2024-03-02,33.14341023336183,49119.861789424736,5.3278911972881895,720.89677651683,4,HR,6.0
2024-03-03,23.936650259939718,3492.3019892188495,0.175209087990716,655.3469404676378,4,Sales,2.0
2024-03-04,36.81838189954757,24313.024225447043,1.6431333251457625,671.4548098942059,3,,1.0
2024-03-05,43.125258223941984,62162.20582198137,9.025447190195136,738.6821225101046,2,HR,5.0
2024-03-06,48.56240028570823,60365.76860891386,10.983020915216848,776.0530486024226,5,HR,1.0
2024-03-07,34.27989878419666,67743.96121561134,6.940292913765514,754.706084204933,5,,2.0
2024-03-08,45.03532897892024,53251.57968877403,11.529147011662708,765.0676442989786,5,Sales,5.0
2024-03-09,38.61636025047634,62419.47945005206,6.385541804969481,624.4997005978387,3,Sales,4.0
2024-03-10,28.548802453948756,44130.60945378405,2.267884500290142,792.8365615036911,4,HR,7.0
2024-03-11,30.8898926067372,51578.41907984395,6.895479027730368,856.9715935714561,3,Finance,8.0
2024-03-12,50.38036566465969,61211.92698519514,7.548303936392707,668.7543423499828,5,Finance,2.0
2024-03-13,34.64173960890049,63594.24693490032,2.8263137191630916,766.4127428580753,2,IT,9.0
2024-03-14,50.64643655814006,60861.332750426394,7.463396891363919,753.3043827294598,1,HR,2.0
2024-03-15,8.802548959102555,3388.736928174325,4.136440548358927,586.4018891204577,4,IT,2.0
2024-03-16,43.21902504375224,69449.57230826106,8.78953793838814,750.0083102369783,4,Finance,4.2
2024-03-17,35.870470682381715,55796.30297930727,7.501302199064219,745.0096727964002,3,,0.0
2024-03-18,32.009926495341325,42012.720971424045,5.426470907223602,821.6389641140292,4,HR,6.0
2024-03-19,35.91760776535502,54574.43249793272,12.524804723052485,805.9327846532385,5,HR,0.0
2024-03-20,15.124310853991073,18833.330312369006,0.2888741644655832,751.2444153744459,5,HR,4.0
2024-03-21,32.80328112162488,55096.27389877383,4.865477265688419,786.7637934720614,3,Sales,9.0
2024-03-22,38.57112571511746,64477.995317886656,5.517369404846134,722.5034020749118,5,IT,7.0
2024-03-23,49.77894044741516,90528.57883257626,8.69868353845092,804.8311443511639,2,Finance,3.0
